Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim
Bdd,KR,MID,37,59.5%,4.5,3.1,1.6,4,8.6,396,66.5%,24.7,467,01.07,0.29,0.19,0.2,78,-2,-113,21.6%,8.1%
Bulldog,KR,MID,37,35.1%,2.2,2.1,2.6,3.6,8.6,386,63.6%,28.2,575,1.11,0.34,0.19,0.24,-19,-4,-138,24.3%,8.1%
Chovy,KR,MID,36,69.4%,5.7,3.6,1.7,5.8,9.2,433,65.6%,27.9,657,1.52,0.32,0.35,0.18,285,8,145,16.7%,5.6%
Clozer,KR,MID,39,48.7%,2.3,2.2,2.6,3.7,9.2,393,59.8%,25.3,504,01.08,0.32,0.23,0.18,31,4,189,15.4%,12.8%
FATE,KR,MID,36,27.8%,2.1,2.2,2.4,2.7,8.4,364,57.4%,27.7,564,01.08,0.3,0.2,0.23,-322,-5,-262,8.3%,11.1%
FIESTA,KR,MID,36,19.4%,1.9,2.2,3,3.6,8.4,371,61.3%,26.7,513,1.33,0.35,0.26,0.27,-176,-2,-132,19.4%,13.9%
Faker,KR,MID,36,80.6%,4,2.9,2.1,5.3,8.3,400,58.2%,26.6,625,1.1,0.3,0.21,0.18,168,0,-13,19.4%,5.6%
Karis,KR,MID,35,34.3%,2.6,2.7,2.2,2.9,8.6,381,63.3%,27,513,0.97,0.26,0.21,0.21,-254,-6,-27,11.4%,14.3%
ShowMaker,KR,MID,31,71%,5.5,2.9,1.4,5,8.7,396,63.9%,26.2,603,1.35,0.37,0.29,0.28,-21,0,79,12.9%,12.9%
Zeka,KR,MID,37,56.8%,3.8,3,1.7,3.4,9.6,421,60.6%,27.8,586,1.19,0.27,0.28,0.19,208,7,265,24.3%,2.7%