Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Rating
Boal,BR,TOP,188888,61.1%,4.3,2.6,1.8,5.1,8,386,58.4%,24.4,483,1.2,0.33,0.24,0.19,-90,-4,234,11.1%,0%,85
Guigo,BR,TOP,18,27.8%,2.1,3.8,4.1,4.7,7.7,385,61%,28.6,612,1.16,0.35,0.2,0.23,59,-4,-10,16.7%,5.6%,83
HiRit,KR,TOP,18,66.7%,2.6,3.2,3,4.4,8.5,413,51.7%,22.5,527,01.04,0.31,0.17,0.2,-84,6,-148,16.7%,33.3%,81
Kiari,BR,TOP,18,27.8%,2.2,2.6,2.7,3.3,7.9,383,55.7%,26.2,566,1.16,0.31,0.23,0.16,19,-2,-48,5.6%,5.6%,72
Lonely,KR,TOP,18,38.9%,3.2,3.6,2.8,5.4,8.3,408,63.6%,24.8,594,1.29,0.37,0.22,0.19,152,5,-10,22.2%,5.6%,81
Robo,BR,TOP,18,66.7%,2.5,3.5,3.3,4.6,8,405,55.3%,23.8,559,1.25,0.34,0.21,0.16,-150,2,-89,5.6%,11.1%,85
Tay,BR,TOP,18,55.6%,3.7,2.4,2.1,5.5,7.5,378,51.9%,18.8,447,1.1,0.28,0.22,0.18,42,-4,173,5.6%,11.1%,81
Wizer,KR,TOP,18,66.7%,2.9,2.6,2.6,5.1,8.3,393,58.7%,21.3,456,1.33,0.33,0.22,0.22,80,8,-162,5.6%,5.6%,87
Zzk,KR,TOP,18,38.9%,1.8,2.1,3.3,4,7.6,373,45.2%,20.8,467,01.03,0.27,0.25,0.16,-109,-3,-89,11.1%,5.6%,68
fNb,BR,TOP,18,50%,2.9,2.6,2.2,3.7,8.6,404,50.1%,21.4,432,1.25,0.4,0.21,0.25,81,-3,149,11.1%,0%,78
Aegis,BR,JUNGLE,18,61.1%,3.7,2.6,2.6,6.9,6.2,349,75.9%,16.2,322,1.21,0.28,0.26,0.28,-2,4,33,50%,5.6%,88
Cariok,BR,JUNGLE,18,66.7%,3.4,1.6,2.7,7.5,5.4,327,69.4%,16.5,342,1.67,0.32,0.41,0.37,-26,-1,-54,38.9%,22.2%,85
Croc,KR,JUNGLE,18,66.7%,3,2.3,3.5,8.2,5,330,71.6%,13.2,305,1.58,0.32,0.36,0.37,-172,-3,-140,33.3%,16.7%,84
Disamis,BR,JUNGLE,18,55.6%,3.8,3,2.6,6.7,5.1,335,68.8%,14.3,360,1.68,0.28,0.34,0.24,78,-3,-100,33.3%,5.6%,81
Goot,BR,JUNGLE,18,50%,3.1,1.7,2.9,7.4,5,317,72.8%,15.7,332,1.5,0.3,0.35,0.33,188,-1,70,38.9%,11.1%,76
Grell,MEX,JUNGLE,10,40%,3.6,4.3,3.5,8.2,6.1,366,68.8%,19.1,440,1.67,0.2,0.37,0.31,465,6,370,0%,20%,87
Hugato,BR,JUNGLE,6,16.7%,2.6,1.8,2.8,5.7,5,310,71.6%,12.1,241,02.03,0.39,0.56,0.39,28,-4,-212,50%,16.7%,69
Ranger,BR,JUNGLE,18,66.7%,2.9,1.7,3.1,7.4,5.6,339,63.9%,13.5,327,1.58,0.27,0.31,0.29,-285,2,-85,27.8%,0%,86
Sting,BR,JUNGLE,2,0%,0.6,0,5.5,3.5,5.2,281,48.1%,9.5,213,1.6,0.32,0.4,0.3,-912,8,404,50%,0%,61
Yampi,BR,JUNGLE,18,38.9%,2.9,2.7,3.2,6.8,5.6,345,69.3%,17.3,379,1.65,0.28,0.35,0.3,52,4,23,33.3%,11.1%,75
accez,BR,JUNGLE,18,27.8%,1.4,1.6,5,5.4,5.1,305,68.9%,12.5,260,1.68,0.45,0.41,0.44,37,0,53,27.8%,27.8%,76
scary,BR,JUNGLE,18,38.9%,3,2,3.3,7.9,4.9,311,69.4%,13.1,307,1.72,0.44,0.4,0.38,-36,-4,20,27.8%,5.6%,74
Avenger,BR,MID,18,61.1%,3.7,3.3,2.5,5.9,7.7,376,67.4%,22.2,443,1.12,0.33,0.23,0.2,-44,-3,-157,33.3%,5.6%,73
Envy,BR,MID,18,50%,3.8,3.7,2.3,4.9,8.3,406,69.7%,28.7,573,1.37,0.31,0.29,0.24,304,0,37,33.3%,5.6%,81
Grevthar,BR,MID,18,27.8%,3.2,3.2,3,6.3,7.6,365,68.1%,21.4,462,1.15,0.34,0.18,0.25,-99,0,-14,27.8%,5.6%,78
Hauz,BR,MID,18,55.6%,4.3,3.9,2.4,6.4,8.1,405,69.9%,30.1,755,1.23,0.33,0.24,0.17,139,2,92,27.8%,16.7%,87
Lava,KR,MID,18,66.7%,3.6,3.1,2.7,6.6,8.6,409,65.9%,28.1,650,1.29,0.25,0.32,0.15,-100,7,58,5.6%,16.7%,77
NOsFerus,BR,MID,18,38.9%,3.7,3.8,2.6,5.8,7.5,377,70.6%,23.4,532,0.88,0.25,0.17,0.15,-117,-4,-48,22.2%,5.6%,75
Piloto,BR,MID,18,27.8%,2.8,2.4,2.5,4.5,8,364,69.5%,23.2,501,01.06,0.34,0.14,0.24,-89,-6,-21,16.7%,0%,61
Tinowns,BR,MID,18,66.7%,5.1,3.1,1.9,6.7,8.3,400,65.1%,26.4,628,1.4,0.44,0.23,0.27,21,1,-64,16.7%,11.1%,90
Yuri,KR,MID,18,38.9%,2.8,3.7,3.2,5.4,8,391,63.2%,25.7,600,1.27,0.26,0.28,0.18,19,1,-113,16.7%,22.2%,70
dyNquedo,BR,MID,18,66.7%,5.5,3.5,1.6,5.4,8.2,385,71%,25.5,537,1.23,0.35,0.27,0.28,-35,2,228,22.2%,5.6%,92
Brance,BR,ADC,18,55.6%,4.6,4.3,2.2,5.7,8.8,428,63.7%,26,663,1.45,0.39,0.37,0.23,-5,-3,95,27.8%,11.1%,83
Bvoy,KR,ADC,18,66.7%,6.9,4.7,1.4,4.8,9.5,445,74.4%,29.1,613,1.63,0.4,0.39,0.2,207,5,244,22.2%,11.1%,90
DudsTheBoy,BR,ADC,12,41.7%,3,4.5,3.3,5.4,9.3,445,67.5%,27.9,716,1.37,0.29,0.4,0.22,-14,-2,-282,16.7%,25%,75
Juliera,BR,ADC,18,27.8%,2.3,2.8,2.9,4.1,9,414,65.8%,27.3,577,1.62,0.35,0.32,0.11,-304,-4,-44,22.2%,11.1%,70
Netuno,BR,ADC,18,66.7%,5.5,5.7,1.9,5.1,9.2,460,70.8%,27.9,656,1.31,0.29,0.41,0.11,261,5,-228,27.8%,0%,91
NinjaKiwi,BR,ADC,18,38.9%,2.7,4.2,3.7,5.6,8.5,419,66.7%,28.4,638,1.52,0.35,0.38,0.21,-163,0,-79,27.8%,16.7%,78
RAV3N,BR,ADC,6,33.3%,3.2,3.7,2.7,4.8,9.2,419,60.7%,22,478,1.16,0.4,0.28,0.15,-410,-12,-125,16.7%,16.7%,71
Route,KR,ADC,18,66.7%,5,4.1,2.2,6.9,9,433,74.5%,28.1,687,1.37,0.37,0.31,0.21,130,2,146,33.3%,5.6%,87
ST3PZ,BR,ADC,12,33.3%,3,3.9,2.9,4.8,8.5,398,53.6%,23.5,533,1.27,0.27,0.31,0.22,-8,-3,-328,16.7%,16.7%,68
Titan,BR,ADC,18,61.1%,5.7,4.2,1.7,5.4,9.6,444,71.2%,29.4,592,1.7,0.42,0.5,0.23,-117,1,105,55.6%,5.6%,89
Trigo,BR,ADC,17,52.9%,4.3,3.4,1.9,4.9,9,415,68.3%,22.5,442,1.32,0.36,0.32,0.2,58,-1,86,35.3%,11.8%,81
micaO,BR,ADC,6,16.7%,1.8,2.5,3.7,4.2,8.6,387,56.4%,30.2,596,1.16,0.43,0.28,0.15,286,5,380,0%,16.7%,69
Ayu,BR,SUPPORT,9,66.7%,6.3,1,1.7,9.4,1.4,269,78.2%,13.3,289,3.98,01.06,0.59,0.41,345,1,22,22.2%,33.3%,82
Bounty,BR,SUPPORT,6,16.7%,2.6,0.5,3.3,8,0.6,218,73.5%,8,162,2.84,1.51,0.35,0.54,130,2,-101,16.7%,0%,64
Cavalo,BR,SUPPORT,18,27.8%,3.1,0.9,2.7,7.2,0.8,235,77.2%,10.8,235,03.06,1.46,0.43,0.52,-231,-3,-81,22.2%,22.2%,69
Ceos,BR,SUPPORT,18,66.7%,5.3,1.3,2.1,9.9,0.9,243,77.4%,8.5,197,2.86,1.2,0.33,0.44,160,7,89,38.9%,5.6%,88
Damage,BR,SUPPORT,18,66.7%,3.5,0.4,2.6,8.7,0.8,232,72%,7.6,156,2.87,1.17,0.38,0.48,105,0,-12,27.8%,5.6%,82
Guigs,BR,SUPPORT,6,33.3%,4,1.8,2.5,8.2,1.2,252,73.3%,8.7,198,3.93,2.24,0.57,0.52,133,6,-114,16.7%,0%,69
JoJo,BR,SUPPORT,18,55.6%,5.1,0.7,2.2,10.6,0.7,243,72.9%,10.7,258,2.87,1.16,0.36,0.4,88,-5,-158,44.4%,0%,84
Krastyel,BR,SUPPORT,12,33.3%,3.9,0.7,2.9,10.8,0.9,239,70.9%,8.7,192,3.19,1.19,0.53,0.52,-3,-2,231,25%,8.3%,71
Kuri,KR,SUPPORT,10,60%,7.9,0.7,1.3,9.6,0.6,232,81.3%,8.8,175,2.7,1.3,0.26,0.44,-177,-2,-248,50%,10%,87
Nia,KR,SUPPORT,18,38.9%,2.1,1.1,4.7,8.7,1.1,248,71.6%,10,224,3.25,1.43,0.45,0.52,-105,3,13,27.8%,16.7%,69
RedBert,BR,SUPPORT,8,37.5%,3,1.6,2.5,5.8,0.8,234,71.4%,10.8,203,2.94,1.66,0.44,0.48,-110,2,447,37.5%,0%,77
Scuro,BR,SUPPORT,12,41.7%,5.1,0.8,2.3,11.2,0.8,243,79.2%,11.3,289,3,1.14,0.41,0.6,-22,-1,103,25%,8.3%,74
scamber,BR,SUPPORT,8,62.5%,4.9,1,2.1,9.4,0.9,242,69.8%,6.6,120,3.12,1.11,0.4,0.45,-112,0,-262,62.5%,0%,77
zay,BR,SUPPORT,18,66.7%,5.4,1,2.1,10.1,0.7,247,74.4%,8.1,192,03.03,1.28,0.34,0.54,-76,-3,34,27.8%,5.6%,82