Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15
5Kid,KR,ADC,23,56.5%,3.7,4.3,2.3,4.3,9.7,448,66.8%,30.2,711,1.51,0.41,0.38,0.19,367,15,146
Artemis,VN,ADC,21,66.7%,5.3,5.5,2,5.4,9.9,483,73%,27.9,608,1.32,0.19,0.35,0.15,409,5,213
Atlen,TW,ADC,21,66.7%,4,5.4,2.9,6,8.9,449,66.8%,27.6,690,1.11,0.26,0.33,0.1,157,3,137
Bruce,TW,ADC,18,44.4%,2.7,3.1,2.9,4.9,9.2,423,66.3%,29.2,599,1.41,0.28,0.39,0.19,-9,3,-55
Ceo,AR,ADC,20,55%,3.7,4.3,2.6,5.3,8.4,423,65.3%,24.6,578,1.55,0.37,0.28,0.2,138,-5,-8
Cheoni,KR,ADC,32,37.5%,3.8,4.3,2.2,4.2,9.7,436,74.5%,33,687,1.16,0.27,0.33,0.14,-136,1,-241
Cryscata,VN,ADC,19,52.6%,3.2,4,2.8,4.9,8.8,420,69.5%,29.9,648,1.33,0.26,0.39,0.16,-146,-3,-69
Danteh,NZ,ADC,8,37.5%,2.8,3.6,2.6,3.8,8.7,405,75.4%,28.9,539,0.99,0.24,0.23,0.04,12,2,72
Eddie,VN,ADC,18,38.9%,3.6,4.6,2.2,3.3,9.7,443,67.2%,29.9,680,1.39,0.21,0.39,0.13,5,-5,24
Feng,TW,ADC,19,57.9%,4.5,3.4,1.8,4.9,9.4,416,68.1%,29.2,606,1.37,0.38,0.4,0.23,28,1,16
Focus,KR,ADC,14,0%,2,2.1,2.3,2.4,9.3,394,63.9%,28.3,550,1.11,0.34,0.29,0.11,-385,-7,-86
Gavotto, MEX,ADC,25,60%,3.8,3.6,2.5,5.8,9.6,438,65.7%,28,655,1.23,0.28,0.31,0.13,-228,3,-25
Hans SamD,KR,ADC,18,72.2%,9.4,5.9,1.2,5.1,10.7,514,73.9%,31.1,684,1.71,0.36,0.4,0.14,1022,17,415
Honey,KR,ADC,32,34.4%,3.8,4,2.1,3.8,9.9,435,69.2%,35,724,1.43,0.33,0.49,0.12,-442,-6,-147
Hoopa,VN,ADC,10,10%,1.2,1.7,3.5,2.5,7.9,349,50.6%,18.7,341,1.18,0.43,0.28,0.2,-1579,-24,-738
Leo,KR,ADC,32,46.9%,3.9,3.8,2.2,4.8,9.3,434,72.6%,28.6,602,1.83,0.43,0.41,0.21,-44,-2,-70
LokeN,KR,ADC,32,78.1%,7.9,4.7,1.3,5.2,9.6,459,67.9%,27.6,645,1.54,0.37,0.43,0.18,104,4,242
Lyg,CL,ADC,16,31.3%,2,2.6,2.9,3.2,8.5,395,57.1%,25,499,1,0.27,0.26,0.12,-430,-15,-317
Marble,JP,ADC,32,68.8%,7.5,3.6,1.2,5.3,9.3,447,70.5%,24.5,578,1.34,0.3,0.35,0.17,482,7,94
MnM,HK,ADC,19,68.4%,6,3.6,1.6,5.8,9.2,437,66%,24.2,551,1.44,0.31,0.37,0.15,554,5,220
Pepero,TW,ADC,18,16.7%,2.4,3,3.1,4.3,8.4,386,69.5%,29.4,622,1.14,0.27,0.4,0.17,-131,-6,-77
Praedyth,AU,ADC,21,57.1%,3.8,4.6,2.5,5.1,9,438,64.6%,26.9,609,1.28,0.45,0.25,0.16,-340,-7,-135
Puddin,VN,ADC,18,44.4%,4.6,4.7,1.9,4.2,10,460,62.3%,29.2,654,1.71,0.27,0.49,0.15,-25,-2,40
Raes,NZ,ADC,27,51.9%,5.7,6.3,2.3,6.6,9.1,470,69.5%,28.7,679,1.2,0.37,0.3,0.13,406,7,45
Shogun,VN,ADC,22,50%,4.7,4.8,2,4.6,10.1,460,72.6%,29,651,1.38,0.27,0.3,0.15,304,12,429
Shunn,TW,ADC,22,68.2%,5.3,4.6,1.8,5,9.5,459,65.1%,26.3,580,1.48,0.39,0.4,0.18,368,8,291
Slayder,VN,ADC,14,50%,4.1,5.4,2.4,4.5,10.1,474,73%,27.7,584,1.36,0.22,0.35,0.16,122,8,-32
Slowz,VN,ADC,18,0%,1.8,2.8,3.2,2.9,8.8,394,72.1%,28.7,486,0.98,0.19,0.33,0.11,-378,-8,-392
Snaker,AR,ADC,19,63.2%,5,5.2,2,4.8,9.6,465,74.2%,29.6,659,1.3,0.29,0.37,0.16,0,0,-62
Sty1e,VN,ADC,22,77.3%,4.4,4.4,2.7,7.4,9.2,455,70.1%,25.7,622,1.46,0.27,0.39,0.17,-258,-2,-56
Tide,TW,ADC,18,33.3%,3.8,3.2,1.9,3.9,9.7,426,69.1%,29.6,618,1.3,0.29,0.37,0.17,-484,-11,-569
Viciun,CL,ADC,19,36.8%,2.5,2.5,2.4,3.4,8.7,385,47%,22.7,453,0.96,0.28,0.24,0.13,-445,-9,-105
Vinboiz,VN,ADC,8,50%,3.2,4.3,2.5,3.8,9.5,430,61.3%,30.2,639,1.42,0.53,0.31,0.26,163,2,-125
Violet,VN,ADC,17,52.9%,5.3,5.3,2.1,5.9,9.5,464,72.6%,31.8,713,1.1,0.32,0.27,0.13,709,19,370
Vit,VN,ADC,21,57.1%,3.9,3.7,2.3,5.4,9.5,447,65.6%,25.8,544,1.46,0.36,0.34,0.23,-271,-7,-292
Voice,AU,ADC,10,10%,1.4,2.6,3.7,2.4,8.1,386,67.4%,25.9,463,0.79,0.24,0.23,0.07,-874,-14,-411
Wako,TW,ADC,18,83.3%,10.1,5.1,1.1,6.1,9.6,469,70%,33.1,813,1.97,0.36,0.49,0.17,407,9,400
Yuhi,JP,ADC,31,45.2%,3.2,3,2.4,4.7,8.9,415,61.6%,24,524,1.34,0.33,0.35,0.17,-315,-4,-135
Yutapon,JP,ADC,27,81.5%,8.1,5.4,1.4,6,9.7,485,69.2%,26.1,669,1,0.19,0.32,0.08,1040,11,656
dresscode,JP,ADC,28,7.1%,2.1,2.4,2.8,3.5,8.7,377,70.3%,26.1,470,01.09,0.32,0.32,0.25,-585,-10,-315
leemas,TR,ADC,25,64%,3.7,4.6,2.8,5.6,8.7,447,63.8%,24.3,643,1.19,0.35,0.26,0.12,56,-2,114
yjy,PH,ADC,15,13.3%,1.8,2,3.4,4,8.3,376,57.3%,24.3,424,1.24,0.24,0.32,0.17,-614,-9,-267