Name,Season,Region,Games,Win rate,K:D,GPM,Kills / game,Deaths / game,GD@15,CSM,DPM,WPM,VWPM,WCPM
100 Challengers,S13,NA,36,61.1%,1.32,1860,14.2,10.6,246,33.2,2313,2.2,0.91,1.27
100 Thieves,S13,NA,20,60.0%,1.21,1789,13.9,11.4,-248,32.1,2288,2.3,1.17,1.58
3BL Esports,S13,AL,14,28.6%,0.77,1719,14.1,18.3,-2385,31.1,2155,1.7,0.89,1.28
5 Ronin,S13,TR,14,7.1%,0.54,1596,7.5,13.9,-2083,30.2,1779,1.6,01.03,1.10
Aegis,S13,FR,18,61.1%,1.38,1813,14.8,10.7,486,32.1,2066,2.1,01.04,1.40
Akroma,S13,FR,18,44.4%,1.10,1809,16.4,14.9,-161,30.1,2295,1.9,01.07,1.35
Alior Bank Team,S13,PL,21,47.6%,01.07,1787,14.5,13.6,294,32.0,2305,2.4,01.01,1.40
All Knights,S13,LAT,16,43.8%,0.78,1730,9.8,12.6,-971,32.8,1973,2.1,1.18,1.40
aNc Outplayed,S13,IT,18,66.7%,1.33,1888,18.1,13.5,661,31.1,2618,2.3,01.01,1.27
Ankora Gaming,S13,RS,14,14.3%,0.58,1623,10.8,18.6,-1945,29.1,1948,2.1,0.84,0.96
Anorthosis Famagusta Esports,S13,GR,19,84.2%,1.92,2000,18.3,9.4,3001,33.7,2458,2.6,0.97,1.46
Anubis Gaming,S13,AL,15,33.3%,0.82,1774,16.0,19.3,472,29.4,2332,1.9,01.03,1.17
Anyone s Legend,S13,CN,39,33.3%,0.78,1683,10.4,13.3,-,31.0,2122,-,-,-
AOE Esports,S13,NA,37,43.2%,0.79,1758,12.5,15.7,-32,31.5,2316,2.3,0.71,1.33
Astralis,S13,EUW,22,36.4%,0.79,1727,12.0,15.1,-292,29.8,2097,3.2,01.09,1.26
Atletec,S13,FR,18,38.9%,0.71,1709,10.8,15.2,-917,31.6,2029,1.9,0.92,1.28
Austrian Force willhaben,S13,DE,21,61.9%,01.07,1860,13.5,12.6,1400,32.1,2682,2.3,0.80,1.16
AXIZ,S13,JP,29,34.5%,0.68,1691,10.5,15.4,-1302,31.4,2046,2.2,1.39,1.66
Axolotl,S13,IT,18,50.0%,1.10,1832,17.5,15.8,-453,30.7,2432,2.0,0.81,1.20
AYM Esports,S13,ES,18,33.3%,0.71,1764,12.3,17.2,-932,31.0,2131,1.7,01.02,1.20
Barça eSports,S13,ES,22,54.5%,01.07,1796,14.1,13.1,-943,32.4,2214,2.3,1.00,1.60
beGenius ESC,S13,FR,21,61.9%,1.23,1812,15.2,12.4,293,30.6,2459,2.3,1.16,1.36
Benelux United,S13,BE,14,35.7%,0.80,1705,11.1,13.8,-1973,30.4,1892,1.9,0.68,1.10
Berlin International Gaming,S13,DE,21,52.4%,1.18,1834,15.2,12.9,-162,31.5,2307,2.4,1.17,1.36
Besiktas Esports,S13,TR,14,42.9%,1.00,1747,11.7,11.7,-21,31.1,1905,1.8,1.18,1.33
Beyond Gaming,S13,PCS,19,57.9%,1.16,1751,11.8,10.2,653,32.4,2038,2.6,1.62,1.73
Bilibili Gaming,S13,CN,37,59.5%,01.07,1842,13.5,12.6,-,32.3,2316,-,-,-
BISONS ECLUB,S13,ES,21,42.9%,0.76,1767,14.2,18.6,-1049,30.9,2492,2.3,0.76,1.32
BK ROG Esports,S13,FR,18,44.4%,1.00,1804,13.6,13.7,334,32.0,2528,2.3,01.05,1.45
Boavista FC,S13,PT,14,7.1%,0.46,1595,10.4,22.4,-3400,27.9,2090,1.6,0.52,1.00
BRION,S13,KR,44,29.5%,0.69,1682,8.3,11.9,-1052,32.6,1853,2.6,1.49,1.83
BRO Challengers,S13,KR,40,25.0%,0.69,1649,10.5,15.3,-1574,30.5,2099,2.3,1.25,1.39
BRUTE,S13,CZ,14,21.4%,0.65,1720,13.6,20.9,-1458,29.5,2463,1.9,0.72,1.10
Burning Core,S13,JP,29,41.4%,0.89,1778,12.0,13.6,-75,32.1,2145,1.9,1.27,1.60
Byteway Esports,S13,PT,18,50.0%,0.97,1712,13.1,13.4,-1319,30.7,2059,2.3,01.01,1.28
Case Esports,S13,ES,19,84.2%,1.99,1931,16.7,8.4,2130,33.2,2350,2.0,01.06,1.35
Cerberus Esports,S13,VN,18,66.7%,1.36,1893,15.1,11.0,1110,33.0,2171,1.4,1.53,1.58
Chief Esports Club,S13,OCE,24,58.3%,1.75,1904,19.1,10.9,772,31.9,2426,2.8,01.06,1.23
Cincinnati Fear,S13,NA,38,63.2%,1.21,1848,14.8,12.2,757,31.7,2269,2.0,0.74,1.21
CLG,S13,NA,19,52.6%,0.96,1785,12.5,12.9,228,32.9,2215,2.5,01.02,1.71
CLG Challengers,S13,NA,38,60.5%,1.40,1830,15.0,10.8,1351,32.4,2363,2.4,0.98,1.30
CLG Faith,S13,NA,35,5.7%,0.37,1550,6.8,18.4,-3923,29.4,1737,1.9,0.75,0.94
Cloud9,S13,NA,19,78.9%,1.55,1899,14.2,9.1,919,33.4,2524,2.7,01.04,1.68
Cloud9 Challengers,S13,NA,36,80.6%,2.19,1947,17.2,7.9,1889,32.8,2543,2.5,1.12,1.41
Crest Gaming Act,S13,JP,29,34.5%,0.73,1709,10.9,14.8,-1890,31.6,2003,2.5,1.42,1.54
Crvena zvezda Esports,S13,RS,18,50.0%,0.92,1782,12.7,13.7,122,31.3,2120,2.6,0.89,1.34
Cryptova,S13,CZ,14,35.7%,0.79,1673,11.3,14.2,-1849,30.5,2058,2.0,0.65,01.08
CTBC Flying Oyster,S13,PCS,19,63.2%,1.28,1848,13.1,10.2,1112,32.9,2179,2.3,1.30,1.71
Cyber Wolves,S13,RS,18,61.1%,1.77,1829,17.2,9.7,2269,30.2,2229,2.6,0.92,1.19
Cyberground Gaming,S13,IT,14,35.7%,0.87,1769,14.6,16.8,-1089,30.7,2418,1.5,0.84,1.13
Dark Passage,S13,TR,14,57.1%,01.02,1770,14.4,14.1,-37,30.7,2244,1.9,01.02,1.31
Deep Cross Gaming,S13,PCS,19,52.6%,1.15,1784,13.2,11.4,416,31.7,2136,2.4,1.31,1.76
Detonation FocusMe,S13,JP,27,77.8%,1.91,1929,16.1,8.3,3059,32.2,2519,2.0,1.30,1.70
Dewish Team,S13,PCS,18,16.7%,0.56,1606,10.1,17.9,-1646,28.5,2072,1.9,1.13,1.33
Diamant Esports,S13,RS,18,72.2%,1.26,1841,14.7,11.7,867,31.1,2355,2.5,0.89,1.32
Dignitas,S13,NA,18,16.7%,0.56,1620,8.1,14.4,-1221,31.0,1997,2.2,1.10,1.60
Dignitas Challengers,S13,NA,37,75.7%,1.34,1891,15.2,11.3,1768,32.1,2715,2.3,1.00,1.25
Dire Wolves,S13,OCE,21,57.1%,0.99,1818,14.6,14.7,-86,31.4,2252,2.9,1.13,1.38
DK Challengers,S13,KR,47,63.8%,1.29,1848,13.4,10.4,878,34.3,2051,2.5,1.36,1.71
DKB Diamonds,S13,DE,21,71.4%,1.39,1915,16.4,11.7,1143,31.6,2427,2.5,0.94,1.27
Domino Esport,S13,EUW,15,26.7%,0.61,1710,13.3,21.8,-1308,29.7,2163,1.9,0.89,0.91
Dplus KIA,S13,KR,40,65.0%,1.60,1829,12.2,7.6,1207,33.6,2273,3.0,1.60,1.68
DREN Esports,S13,IT,14,35.7%,0.66,1791,11.5,17.4,-836,33.2,2005,1.7,0.74,1.36
DRX,S13,KR,44,27.3%,0.58,1671,7.9,13.7,-1542,31.7,1976,2.5,1.44,1.74
DRX Challengers,S13,KR,43,67.4%,1.19,1843,13.3,11.1,250,33.2,2291,2.4,1.27,1.74
Dsyre Esports,S13,IT,18,72.2%,1.26,1943,17.7,14.0,3209,32.1,2428,2.5,1.30,1.46
Dynamo Eclot,S13,CZ,15,60.0%,01.01,1837,16.9,16.8,1226,30.5,2583,2.3,01.05,1.24
E WIE EINFACH E-SPORTS,S13,DE,18,22.2%,0.50,1678,8.8,17.6,-1927,32.0,1992,1.9,0.96,1.25
Edward Gaming,S13,CN,37,70.3%,1.25,1855,13.0,10.4,-,32.9,2464,-,-,-
EGN Esports,S13,PT,14,50.0%,01.07,1723,13.1,12.2,192,29.6,2295,1.9,0.92,1.19
Eintracht Frankfurt,S13,DE,18,38.9%,0.86,1755,14.6,16.8,-825,31.4,2409,2.2,0.82,1.58
Eintracht Spandau,S13,DE,21,57.1%,01.03,1862,13.9,13.5,1537,32.8,2421,2.6,1.26,1.46
Entropiq,S13,CZ,14,78.6%,1.52,1939,17.1,11.2,1433,32.4,2724,2.6,01.09,1.27
EPIC-DUDES,S13,DE,18,33.3%,0.71,1695,11.2,15.6,-1364,30.4,2080,1.9,0.79,1.22
ERN ROAR,S13,DE,21,57.1%,1.44,1900,19.7,13.6,1116,30.9,2818,2.5,0.89,1.37
Estral Esports,S13,LAT,18,72.2%,1.90,1899,15.0,7.8,1243,33.4,2137,2.4,01.09,1.44
eSuba,S13,CZ,14,71.4%,1.60,1929,18.1,11.3,1846,32.0,2354,2.2,0.89,1.22
Evil Geniuses,S13,NA,19,52.6%,1.17,1795,13.4,11.4,838,32.3,2447,2.6,1.26,1.57
Evil Geniuses Challengers,S13,NA,35,31.4%,0.80,1697,11.5,14.3,-1437,30.8,1966,2.3,0.98,1.18
Excel Esports,S13,EUW,14,21.4%,0.66,1705,11.9,17.9,-1492,30.4,2356,2.9,0.86,1.32
Exeed Poland,S13,PL,18,27.8%,0.60,1667,9.6,15.9,-1345,31.1,2049,1.9,0.79,1.23
Falcons,S13,ES,18,38.9%,0.85,1708,11.7,13.7,-667,30.4,2149,1.6,0.63,1.33
FC Schalke 04 Evolution,S13,DE,23,60.9%,1.13,1773,14.7,13.1,-864,31.0,2242,2.4,01.04,1.53
FENNEL,S13,JP,30,50.0%,01.02,1771,12.1,11.7,177,31.5,2094,2.3,1.23,1.76
Fluxo,S13,BR,18,55.6%,1.25,1789,14.3,11.4,342,30.3,2483,2.4,1.22,1.53
Fluxo Academy,S13,BR,16,37.5%,0.89,1761,14.0,15.7,-1348,30.9,2276,2.2,1.18,1.58
FLY FAM,S13,NA,34,14.7%,0.63,1642,9.9,15.8,-1600,30.1,1965,2.1,0.75,01.03
FlyQuest,S13,NA,19,73.7%,1.30,1871,14.2,10.9,516,32.8,2216,2.6,1.34,1.81
FlyQuest Challengers,S13,NA,37,62.2%,1.11,1850,15.6,14.1,284,31.5,2370,2.3,01.07,1.33
Fnatic,S13,EUW,14,21.4%,0.60,1702,9.9,16.4,-2168,31.9,2197,3.2,0.98,1.37
Fnatic TQ,S13,ES,21,71.4%,1.17,1883,16.5,14.1,1187,32.8,2584,2.3,01.09,1.30
For The Win Esports,S13,PT,18,66.7%,1.44,1856,15.8,11.0,2146,32.4,2295,2.4,1.12,1.27
Forsaken,S13,PL,21,42.9%,0.87,1818,15.3,17.6,-411,32.0,2339,2.3,0.74,1.34
Fox Gaming,S13,AL,14,50.0%,01.06,1821,15.5,14.6,629,31.2,2486,1.9,0.83,1.41
Frank Esports,S13,PCS,19,68.4%,1.78,1871,14.6,8.2,2028,32.6,2306,2.3,1.19,1.78
Funplus Phoenix,S13,CN,37,35.1%,0.85,1738,11.5,13.6,-,32.1,1960,-,-,-
FURIA Academy,S13,BR,16,50.0%,1.00,1758,13.8,13.8,-1,30.3,2184,2.4,1.34,1.56
FURIA Esports,S13,BR,18,50.0%,01.07,1794,12.6,11.8,756,32.0,2023,2.7,1.47,1.71
FUT Esports,S13,TR,14,78.6%,1.20,1825,13.1,10.9,1008,32.1,2221,1.8,1.14,1.49
G2 Esports,S13,EUW,26,73.1%,1.53,1984,18.1,11.8,1857,32.2,2471,3.1,1.00,1.53
Galakticos,S13,TR,14,28.6%,0.62,1714,9.8,15.9,-244,31.3,2210,1.7,01.08,1.39
GAM Esports,S13,VN,18,77.8%,1.48,1914,16.0,10.7,347,32.6,2391,1.4,1.30,1.49
GamerLegion,S13,DE,18,33.3%,0.81,1713,11.8,14.6,-171,31.4,2288,2.2,01.01,1.46
Gamespace Mediterranean College Esports,S13,GR,14,21.4%,0.67,1700,11.1,16.7,-818,30.7,1995,2.2,0.89,1.24
GameWard,S13,FR,18,55.6%,0.98,1767,12.5,12.6,25,31.9,2095,2.4,1.11,1.41
Geekay Esports,S13,AL,18,83.3%,1.77,1938,23.4,13.1,1923,30.0,2881,2.3,0.99,1.38
Gen.G Challengers,S13,KR,46,37.0%,0.89,1787,12.5,13.9,-426,32.6,2086,2.8,1.31,1.58
Gen.G eSports,S13,KR,43,69.8%,1.46,1904,14.0,9.6,1286,34.1,2320,2.6,1.27,1.96
GG&Esports,S13,IT,14,14.3%,0.48,1639,10.9,22.8,-3547,28.3,2261,1.7,0.82,1.11
Giants,S13,ES,18,44.4%,01.01,1814,11.2,11.1,391,33.8,2056,2.3,1.11,1.54
GnG Esports,S13,AL,15,40.0%,0.97,1784,16.1,16.5,-967,29.9,2201,1.8,0.99,1.44
Golden Guardians,S13,NA,18,50.0%,01.08,1791,12.8,11.7,52,31.7,2196,2.5,1.22,1.61
Golden Guardians Challengers,S13,NA,39,61.5%,1.18,1856,15.7,13.2,53,31.1,2264,2.2,0.99,1.14
Ground Zero Gaming,S13,OCE,8,37.5%,0.70,1674,9.5,13.6,-608,30.2,1911,1.8,0.74,1.16
Grypciocraft Esports,S13,PL,19,78.9%,1.55,1950,19.7,12.6,1737,32.2,2565,2.1,0.94,1.37
GTZ Esports,S13,PT,16,93.8%,1.89,1997,21.2,11.1,2931,31.2,2896,1.9,0.82,1.19
Guasones,S13,ES,18,11.1%,0.68,1678,11.7,17.2,-1636,31.2,1988,2.1,0.90,1.25
Hanwha Life eSports,S13,KR,45,53.3%,0.95,1796,10.0,10.5,71,33.4,2104,2.9,1.47,1.79
HEET,S13,BE,14,57.1%,0.96,1789,14.6,15.2,-209,31.0,2380,1.9,0.99,1.20
HELL PIGS,S13,PCS,18,33.3%,0.70,1718,10.2,14.6,-1242,32.3,2079,2.1,1.20,1.61
Hell Zerolag Esports,S13,GR,14,28.6%,0.72,1742,11.5,16.1,-1820,31.5,2063,1.7,0.68,1.15
Heretics Academy,S13,ES,22,72.7%,1.57,1927,17.9,11.4,1068,32.4,2580,2.7,1.42,1.61
HLE Challengers,S13,KR,46,60.9%,1.39,1820,14.8,10.7,620,31.4,2202,2.4,1.24,1.64
Illuminar Gaming,S13,PL,21,42.9%,0.93,1721,12.7,13.6,-272,30.8,2196,2.1,1.00,1.36
Immortals,S13,NA,18,22.2%,0.61,1652,8.8,14.4,-1171,32.1,2127,2.7,1.20,1.56
Immortals Challengers,S13,NA,37,48.6%,01.02,1818,15.2,14.9,566,30.9,2367,2.4,0.95,1.22
Impunity,S13,PCS,18,61.1%,01.03,1861,14.9,14.4,907,32.2,2427,2.1,1.31,1.62
Infinity eSports,S13,LAT,16,43.8%,0.88,1759,10.9,12.4,-129,32.6,2291,2.2,1.25,1.60
Inside Games,S13,CZ,14,21.4%,0.68,1652,12.4,18.2,-1770,29.1,2216,1.9,0.68,1.14
INTZ Academy,S13,BR,16,43.8%,0.72,1726,12.7,17.6,-1212,29.8,2310,2.2,1.41,1.46
INTZ e-Sports,S13,BR,18,38.9%,0.79,1762,13.8,17.5,-442,30.3,2240,2.6,1.33,1.60
Invictus Gaming,S13,CN,34,52.9%,0.97,1789,12.9,13.2,-,31.4,2179,-,-,-
Iron Wolves,S13,PL,18,38.9%,0.82,1726,12.5,15.2,-1103,30.0,2165,2.0,0.88,1.23
Istanbul Wildcats,S13,TR,14,85.7%,1.69,1952,17.4,10.1,1558,33.3,2627,1.9,1.28,1.65
Isurus,S13,LAT,21,66.7%,01.07,1787,14.9,13.9,-49,31.3,2397,2.2,1.21,1.39
IZI Dream,S13,FR,18,16.7%,0.68,1661,10.5,15.5,-523,30.7,1915,2.0,01.01,1.36
