Name,Season,Region,Games,Win rate,K:D,GPM,Kills / game,Deaths / game,GD@15,CSM,DPM,WPM,VWPM,WCPM
J Team,S13,PCS,18,44.4%,0.98,1727,11.5,11.8,-653,30.3,2094,2.3,1.46,1.47
JD Gaming,S13,CN,32,75.0%,1.56,1942,15.8,10.1,-,33.2,2554,-,-,-
Joblife,S13,FR,23,56.5%,0.99,1800,15.5,15.6,-157,30.8,2283,1.9,0.57,1.31
KaBuM! Academy,S13,BR,16,68.8%,1.56,1938,19.4,12.5,2520,30.8,2615,2.8,1.41,1.39
KaBuM! e-Sports,S13,BR,18,38.9%,0.99,1794,14.6,14.8,18,31.3,2396,2.9,1.52,1.72
Kanga Esports,S13,OCE,10,10.0%,0.42,1566,8.1,19.4,-3944,29.8,1833,2.0,0.78,01.04
Karmine Corp,S13,FR,18,38.9%,0.78,1712,11.6,14.8,-143,31.2,2180,2.1,0.99,1.33
Kaufland Hangry Knights,S13,DE,18,38.9%,0.92,1761,15.1,16.4,826,30.2,2764,2.0,0.81,1.26
KDF Challengers,S13,KR,42,26.2%,0.67,1711,10.9,16.4,350,31.1,2179,2.3,1.23,1.38
KIT SC SmartWe,S13,DE,22,54.5%,0.84,1781,16.5,19.6,-864,29.6,2710,2.3,0.68,1.24
Klanik Esport,S13,FR,21,42.9%,0.85,1731,12.0,14.0,-648,30.0,2144,2.0,01.04,1.26
KOI,S13,EUW,26,50.0%,01.02,1777,12.8,12.5,134,31.5,2257,3.0,0.87,1.38
KOI Academy,S13,ES,18,33.3%,0.88,1733,11.1,12.6,-100,31.9,1933,2.2,01.05,1.29
Komil & Friends,S13,PL,18,27.8%,0.73,1738,14.8,20.3,-1409,30.1,2190,2.0,0.88,1.35
KRC Genk Esports,S13,BE,14,71.4%,1.31,1882,16.7,12.6,-11,32.1,2398,1.9,1.00,1.25
KT Challengers,S13,KR,43,67.4%,1.40,1843,14.2,10.1,903,32.4,2268,2.8,1.51,1.53
KT Rolster,S13,KR,43,65.1%,1.50,1837,11.6,7.7,524,34.2,1968,2.6,1.34,1.79
Kwangdong Freecs,S13,KR,45,37.8%,0.75,1759,9.2,12.3,-191,33.8,2051,2.7,1.48,1.80
LDLC OL,S13,FR,18,66.7%,1.24,1836,13.6,10.9,303,32.7,2183,2.1,01.07,1.49
Levante UD Esports,S13,ES,18,33.3%,0.92,1752,14.1,15.2,-283,30.6,2244,1.8,1.10,1.29
LEX esports,S13,ES,18,38.9%,0.82,1721,11.8,14.3,-642,31.4,1910,1.9,1.00,1.27
LGD Gaming,S13,CN,34,38.2%,0.84,1730,10.9,12.9,-,32.2,2172,-,-,-
Liberty,S13,BR,18,27.8%,0.65,1701,10.3,15.8,-568,30.7,2140,2.9,1.47,1.54
Liberty Academy,S13,BR,16,31.3%,0.76,1704,12.7,16.6,-1094,30.6,2226,2.5,1.37,1.35
Liiv SANDBOX,S13,KR,47,51.1%,0.96,1760,10.5,11.0,-400,33.7,2018,2.9,1.55,1.73
Lille Esport,S13,FR,18,66.7%,0.99,1870,16.2,16.3,628,31.6,2406,1.8,0.92,1.26
LNG Esports,S13,CN,34,70.6%,1.40,1881,16.3,11.6,-,32.5,2431,-,-,-
Los Grandes,S13,BR,18,66.7%,1.14,1866,14.6,12.8,-283,32.5,2351,2.4,1.30,1.54
Los Grandes Academy,S13,BR,16,62.5%,1.42,1801,18.4,12.9,-175,29.5,2535,2.6,1.48,1.54
LOUD,S13,BR,18,66.7%,1.10,1810,14.4,13.1,-11,31.1,2376,2.7,1.45,1.45
LOUD Academy,S13,BR,16,37.5%,0.68,1718,11.1,16.4,-114,31.0,2296,2.3,1.15,1.40
LSB Challengers,S13,KR,47,34.0%,0.80,1727,12.6,15.9,-1183,30.6,2240,2.4,1.34,1.59
Macko Esports,S13,IT,18,77.8%,1.40,1926,17.4,12.4,1010,32.1,2736,2.1,0.82,1.44
MAD Lions,S13,EUW,33,57.6%,1.00,1821,13.8,13.8,476,31.6,2367,2.9,01.04,1.37
MAGAZA,S13,RS,14,50.0%,01.07,1816,14.6,13.7,260,30.5,2235,2.2,0.83,1.26
MAMMOTH,S13,OCE,10,10.0%,0.37,1566,7.3,20.0,-3219,28.7,1760,2.0,0.77,1.10
mCon LG UltraGear,S13,BE,14,50.0%,0.91,1751,12.5,13.6,-252,31.1,2130,1.9,0.87,1.25
MGN Box Esports,S13,VN,16,0.0%,0.44,1590,7.6,17.3,-2743,30.4,1700,1.6,1.32,1.41
MOUZ,S13,DE,23,56.5%,1.13,1781,13.6,12.1,520,31.5,2291,2.1,0.98,1.45
Movistar R7,S13,LAT,22,59.1%,1.28,1836,15.0,11.7,1105,31.6,2349,2.1,1.20,1.46
Movistar Riders,S13,ES,22,59.1%,1.33,1880,16.8,12.7,1839,32.7,2272,2.5,01.03,1.41
MS Company,S13,FR,18,11.1%,0.59,1619,10.3,17.4,-1350,29.5,1957,1.4,0.74,1.13
mYinsanity,S13,DE,22,54.5%,0.97,1790,14.6,15.0,712,30.5,2458,2.2,0.75,1.27
NASR eSports Turkey,S13,TR,14,50.0%,1.12,1799,14.5,12.9,-583,32.5,2282,1.8,1.20,1.65
Nativz,S13,EUW,14,7.1%,0.48,1583,8.9,18.4,-2788,29.4,1944,2.0,0.96,01.06
Nigma Galaxy Male,S13,AL,18,44.4%,0.78,1818,15.2,19.6,-653,31.6,2451,1.8,0.74,1.20
Ninjas in Pyjamas,S13,CN,34,32.4%,0.87,1721,11.6,13.4,-,31.0,2219,-,-,-
NNO Prime,S13,DE,18,22.2%,0.75,1716,9.8,13.1,-89,32.4,2147,2.3,01.06,1.49
Nongshim RedForce,S13,KR,42,21.4%,0.69,1664,8.8,12.7,-1880,31.9,1891,2.6,1.50,1.55
Nord Esports,S13,EUW,19,73.7%,1.73,1942,18.7,10.8,1974,31.7,2511,2.4,0.95,1.20
Northern Lions,S13,BE,14,28.6%,0.73,1720,14.9,20.4,-606,29.3,2386,1.6,0.71,1.13
NS Challengers,S13,KR,46,58.7%,01.02,1811,13.7,13.3,-365,32.6,2135,2.5,1.42,1.75
Odivelas Sports Club,S13,PT,13,30.8%,0.78,1723,13.5,17.4,-101,29.7,2328,1.7,0.85,1.30
OMG,S13,CN,36,55.6%,01.02,1835,12.0,11.8,-,32.7,2240,-,-,-
Orbit Anonymo,S13,PL,21,81.0%,1.38,1879,17.9,12.9,681,30.7,2604,2.2,0.91,1.15
paiN Academy,S13,BR,16,31.3%,0.73,1744,11.9,16.4,67,30.8,2085,2.3,1.34,1.36
paiN Gaming,S13,BR,18,66.7%,1.18,1783,12.8,10.8,332,32.0,2104,2.6,1.55,1.66
Panathinaikos AC eSports,S13,GR,18,44.4%,0.74,1706,12.9,17.5,-2476,28.8,2105,2.5,1.13,1.13
Papara SuperMassive,S13,TR,14,50.0%,1.10,1775,11.4,10.4,402,32.1,2000,1.6,0.97,1.51
Partizan Esports,S13,RS,18,77.8%,1.56,1825,13.9,8.9,613,32.4,2240,2.5,0.95,1.27
PEACE,S13,OCE,2,50.0%,0.76,1784,13.0,17.0,1917,31.8,2627,3.2,1.23,1.38
Pentagon Rejects,S13,GR,14,35.7%,0.86,1780,12.8,14.9,-295,31.7,2165,2.1,0.91,1.47
Pentanet.GG,S13,OCE,17,52.9%,1.24,1856,15.3,12.3,1006,31.5,2215,2.7,1.20,1.38
Project Conquerors,S13,FR,18,33.3%,0.90,1706,13.1,14.6,-324,29.8,2031,1.8,0.99,1.26
PSG Talon,S13,PCS,18,83.3%,1.90,1845,15.7,8.3,1279,31.7,2399,2.3,1.40,1.93
RA AD,S13,AL,21,61.9%,01.01,1866,17.6,17.4,330,31.8,2557,2.3,0.98,1.51
Ramboot Club,S13,ES,18,55.6%,01.04,1836,14.6,14.1,133,32.1,2199,1.6,0.86,1.23
Rare Atom,S13,CN,34,38.2%,0.79,1757,11.0,14.0,-,32.4,2200,-,-,-
Rebels Gaming,S13,ES,22,68.2%,01.01,1830,13.7,13.5,-55,32.1,2420,2.7,1.23,1.50
RED Academy,S13,BR,16,62.5%,1.11,1847,16.2,14.6,936,31.7,2355,2.5,1.31,1.56
RED Canids,S13,BR,18,61.1%,1.32,1790,13.4,10.1,-402,32.2,1991,2.6,1.35,1.54
Riddle Esports,S13,EUW,19,78.9%,1.64,1909,16.2,9.8,415,33.9,2106,2.3,01.03,1.37
Royal Never Give Up,S13,CN,32,50.0%,0.98,1785,12.0,12.2,-,31.8,2205,-,-,-
Ruddy Esports,S13,EUW,17,64.7%,1.18,1839,15.4,13.1,1062,32.1,2445,2.4,0.71,1.27
Saigon Buffalo,S13,VN,19,52.6%,0.98,1789,12.5,12.7,-74,31.9,2165,2.2,1.32,1.68
SBTC Esports,S13,VN,19,47.4%,0.88,1808,13.4,15.3,-508,32.2,2134,2.2,1.50,1.70
SEM9 WPE,S13,PCS,18,16.7%,0.52,1614,9.6,18.3,-3089,29.7,1916,2.3,1.12,1.61
Sengoku Gaming,S13,JP,29,79.3%,1.75,1920,15.3,8.8,902,33.2,2347,2.2,1.18,1.56
seQura ZEST,S13,ES,18,38.9%,0.90,1721,13.5,14.9,-182,30.2,2053,1.7,0.76,1.14
SINNERS Esports,S13,CZ,15,66.7%,1.24,1883,19.4,15.6,1284,30.5,2817,2.4,1.13,1.30
Six Karma,S13,LAT,21,61.9%,1.19,1816,13.0,10.8,931,32.7,2177,2.4,1.40,1.67
SK Gaming,S13,EUW,25,60.0%,1.20,1792,13.5,11.2,-602,31.2,2158,3.3,1.13,1.41
SK Gaming Prime,S13,DE,18,72.2%,1.61,1952,16.7,10.3,1424,33.8,2337,2.3,1.25,1.52
SoftBank Hawks Gaming,S13,JP,29,72.4%,1.42,1845,12.9,9.1,1078,32.0,2387,2.3,1.32,1.56
Solary,S13,FR,18,55.6%,0.96,1793,11.2,11.7,190,33.2,1987,2.4,1.13,1.39
Sprout,S13,DE,18,44.4%,1.14,1780,13.1,11.4,-593,32.5,2128,2.0,0.81,1.23
T1,S13,KR,43,81.4%,1.54,1938,14.3,9.2,2123,33.3,2400,2.8,1.38,1.61
T1 Challengers,S13,KR,48,56.3%,01.03,1815,13.2,12.8,436,32.4,2306,2.5,1.29,1.64
Team 7AM,S13,BE,14,64.3%,1.52,1888,19.7,12.9,1507,30.5,2550,2.1,0.83,01.07
Team Aze,S13,LAT,14,0.0%,0.41,1600,6.4,15.6,-1944,31.8,1929,2.3,1.17,1.37
Team BDS,S13,EUW,20,55.0%,1.16,1789,14.8,12.7,-210,31.9,2168,3.0,01.04,1.60
Team BDS Academy,S13,FR,18,50.0%,0.90,1748,12.2,13.5,-2064,31.2,2366,2.4,1.22,1.53
Team Bliss,S13,OCE,22,72.7%,1.10,1890,16.4,14.8,1766,30.9,2552,2.4,01.01,1.35
Team du Sud,S13,FR,18,88.9%,2.39,1959,19.0,7.9,1989,31.9,2473,1.7,0.93,1.26
Team ESCA Gaming,S13,PL,18,22.2%,0.71,1699,12.1,17.1,-1166,30.6,2183,1.7,0.63,1.34
Team Flash,S13,VN,15,46.7%,1.00,1791,12.3,12.2,858,32.5,2232,1.8,1.59,1.84
Team GO,S13,FR,18,61.1%,1.35,1805,14.8,10.9,1341,32.0,2243,2.3,01.03,1.48
Team Heretics,S13,EUW,19,31.6%,0.84,1797,14.4,17.2,-534,31.4,2399,3.2,01.02,1.51
Team Liquid,S13,NA,18,44.4%,0.95,1787,12.3,12.9,902,33.0,2281,2.5,1.32,1.74
Team Liquid Challengers,S13,NA,39,56.4%,1.16,1830,13.7,11.8,1141,31.3,2157,2.6,1.20,1.23
Team Liquid First,S13,NA,34,20.6%,0.56,1662,9.8,17.5,-1999,30.9,2016,1.9,0.69,0.98
Team Phantasma,S13,GR,19,57.9%,01.04,1864,14.2,13.5,1407,32.2,2259,2.4,01.04,1.34
Team Sampi,S13,CZ,14,42.9%,0.94,1741,13.8,14.6,-891,29.4,2343,1.7,0.61,0.94
Team Secret,S13,VN,18,38.9%,0.94,1777,12.8,13.7,673,32.4,2252,1.5,1.33,1.61
Team Vitality,S13,EUW,21,61.9%,1.10,1876,14.7,13.3,934,32.9,2467,3.0,0.95,1.57
Team WE,S13,CN,34,47.1%,01.03,1818,13.1,12.7,-,31.7,2236,-,-,-
Team Whales,S13,VN,19,63.2%,1.17,1847,13.8,11.7,196,31.8,2085,2.4,1.59,1.60
TeamOrangeGaming,S13,DE,18,22.2%,0.68,1671,10.7,15.7,-1980,30.2,2029,2.0,0.57,1.16
The Agency,S13,BE,14,57.1%,1.18,1838,14.9,12.6,1223,31.0,2323,2.0,0.87,1.22
The Kings,S13,LAT,16,31.3%,0.70,1707,10.1,14.4,-1275,31.4,1998,2.2,1.14,1.41
Top Esports,S13,CN,33,54.5%,1.24,1834,14.2,11.5,-,31.7,2316,-,-,-
Triple Esports,S13,AL,21,47.6%,0.97,1826,15.7,16.1,106,31.0,2397,2.0,0.69,1.42
TSM,S13,NA,18,44.4%,0.86,1727,11.7,13.6,-926,31.0,2293,2.5,01.09,1.55
TSM Challengers,S13,NA,37,43.2%,0.91,1819,14.1,15.5,626,31.9,2361,2.3,0.90,1.28
TT,S13,CN,32,50.0%,01.04,1779,12.3,11.8,-,32.3,2123,-,-,-
UCAM Tokiers,S13,ES,18,27.8%,0.66,1692,10.7,16.1,-1149,31.1,2144,2.1,01.06,1.27
Ultra Prime,S13,CN,32,25.0%,0.55,1686,9.0,16.5,-,31.3,1988,-,-,-
Unicorns Of Love Sexy Edition,S13,DE,18,77.8%,1.29,1932,15.2,11.7,423,34.3,2458,2.3,0.94,1.63
UniQ Esports Club,S13,EUW,15,20.0%,0.60,1650,10.0,16.6,-1912,30.1,1971,1.8,0.71,1.18
V3 Esports,S13,JP,26,7.7%,0.48,1569,8.0,16.4,-1945,29.4,1748,2.1,1.44,1.45
Valiance,S13,RS,14,57.1%,1.24,1796,13.9,11.2,850,30.8,2314,2.2,0.95,1.17
Vanir,S13,EUW,14,42.9%,01.09,1833,16.6,15.2,1325,31.3,2292,1.9,0.87,1.46
Varona Esports,S13,PT,14,21.4%,0.56,1642,10.8,19.1,-3296,29.9,2110,1.7,01.01,1.13
Verdant,S13,EUW,17,64.7%,1.13,1784,13.9,12.3,314,30.9,2213,2.4,01.04,1.26
Villarreal QLASH,S13,ES,18,38.9%,0.77,1781,13.4,17.3,-570,31.8,2367,1.7,01.03,1.41
Vitality.Bee,S13,FR,18,50.0%,0.96,1752,12.8,13.2,52,31.4,2026,2.2,0.92,1.41
ViV Esport,S13,FR,23,52.2%,0.99,1810,12.7,12.8,586,32.6,2137,2.1,0.92,1.25
Vivo Keyd Stars,S13,BR,18,27.8%,0.84,1714,14.1,16.8,257,30.3,2158,2.6,1.54,1.59
Vivo Keyd Stars Academy,S13,BR,16,75.0%,1.53,1896,18.3,11.9,422,31.6,2499,2.4,1.16,1.56
Webidoo Gaming,S13,IT,14,28.6%,01.05,1744,13.7,13.0,-220,31.2,2026,2.0,0.97,1.36
Weibo Gaming,S13,CN,33,63.6%,1.20,1851,13.5,11.2,-,32.4,2255,-,-,-
WeSports,S13,DE,21,52.4%,0.99,1760,15.5,15.6,-833,30.0,2470,2.2,0.85,1.28
White Dragons,S13,PT,17,64.7%,1.38,1844,16.7,12.1,1800,30.7,2407,2.1,1.00,1.25
Wild Panthers Esports,S13,GR,14,42.9%,0.94,1766,14.7,15.7,-1792,31.4,2296,2.0,0.90,1.27
Wildcard Gaming,S13,NA,39,61.5%,01.04,1850,15.1,14.5,-319,31.8,2552,2.1,0.56,1.11
Wizards Club,S13,ES,19,89.5%,1.96,1926,18.9,9.6,1541,31.7,2571,1.8,0.96,1.45
WLGaming Esports,S13,GR,18,66.7%,1.36,1911,18.6,13.7,1498,31.4,2574,2.3,01.08,1.29
XtremeDominators,S13,RS,14,0.0%,0.34,1529,7.3,21.5,-4142,28.3,1744,1.8,0.65,0.87
ZennIT Gaming,S13,BE,14,35.7%,0.81,1770,13.9,17.1,319,31.0,2157,2.0,0.75,1.17
Zero Tenacity,S13,PL,19,84.2%,1.68,1988,20.3,12.0,2697,32.2,2587,2.3,1.00,1.35
ZETA,S13,ES,18,44.4%,0.77,1759,10.7,13.9,-732,31.6,1938,1.8,0.96,1.22